Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
Gandhi Chowk,City Center,Morning,High,Yes,No,Middle,High,Safe
Gandhi Chowk,City Center,Afternoon,Medium,Yes,No,Middle,High,Safe
Gandhi Chowk,City Center,Evening,High,Yes,Yes,Middle,High,Safe
Gandhi Chowk,City Center,Night,Low,Yes,Yes,Middle,High,Moderate
Gandhi Chowk,City Center,Late Night,Low,Yes,Yes,Middle,High,Unsafe
BLDEA Road,Suburban,Morning,Medium,No,No,Outer,Medium,Safe
BLDEA Road,Suburban,Afternoon,High,No,Yes,Outer,Medium,Safe
BLDEA Road,Suburban,Evening,Medium,No,Yes,Outer,Medium,Safe
BLDEA Road,Suburban,Night,Low,No,Yes,Outer,Medium,Moderate
BLDEA Road,Suburban,Late Night,Low,No,Yes,Outer,Medium,Unsafe
Shastri Nagar,Residential,Morning,Medium,Yes,No,Middle,High,Safe
Shastri Nagar,Residential,Afternoon,Low,Yes,No,Middle,High,Safe
Shastri Nagar,Residential,Evening,Low,Yes,No,Middle,High,Moderate
Shastri Nagar,Residential,Night,Low,Yes,No,Middle,High,UnSafe
Shastri Nagar,Residential,Night,Low,Yes,No,Middle,High,UnSafe
Basava Circle,Commercial,Morning,High,No,Yes,Inner,Low,Safe
Basava Circle,Commercial,Afternoon,High,No,Yes,Inner,Low,Safe
Basava Circle,Commercial,Evening,High,No,Yes,Inner,Low,Safe
Basava Circle,Commercial,Night,Medium,No,Yes,Inner,Low,Moderate
Basava Circle,Commercial,Late Night,Medium,No,Yes,Inner,Low,UnSafe
Market Yard,Industrial,Morning,Medium,Yes,No,Outer,Medium,Safe
Market Yard,Industrial,Afternoon,Medium,Yes,No,Outer,Medium,Safe
Market Yard,Industrial,Evening,Medium,Yes,Yes,Outer,Medium,Moderate
Market Yard,Industrial,Night,Low,Yes,Yes,Outer,Medium,Unsafe
Market Yard,Industrial,Late Night,Low,Yes,Yes,Outer,Medium,Unsafe
Sainik School,Educational,Morning,High,Yes,No,Inner,High,Safe
Sainik School,Educational,Afternoon,High,Yes,No,Inner,High,Safe
Sainik School,Educational,Evening,Medium,Yes,No,Inner,High,Moderate
Sainik School,Educational,Night,Low,Yes,No,Inner,High,UnSafe
Sainik School,Educational,LateNight,Low,Yes,No,Inner,High,UnSafe
Gol Gumbaz,Historical,Morning,High,No,No,Inner,High,Safe
Gol Gumbaz,Historical,Afternoon,Medium,No,No,Inner,High,Safe
Gol Gumbaz,Historical,Evening,Low,No,No,Inner,High,Moderate
Gol Gumbaz,Historical,Night,Low,No,No,Inner,High,UnSafe
Gol Gumbaz,Historical,LateNight,Low,No,No,Inner,High,UnSafe
Old Bus Stand,Transit Hub,Morning,High,Yes,Yes,Middle,Medium,Safe
Old Bus Stand,Transit Hub,Afternoon,High,Yes,Yes,Middle,Medium,Safe
